xd;id;name;addressId;description;openingTimeMon;openingTimeTue;openingTimeWen;openingTimeThu;openingTimeFri;openingTimeSat;openingTimeSun;closingTimeMon;closingTimeTue;closingTimeWen;closingTimeThu;closingTimeFri;closingTimeSat;closingTimeSun
1;1;Thien Ly;1;Bardzo popularny chińczyk, znany z szybkjej obsługi, dobrego jedzenia i dużych porcji dań. Jeśli potrzebujesz najeść się na cały dzień i nie masz dużo czasu, wpadnij do tego lokalu.;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T09:00:00.000Z;2137-01-01T09:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T19:00:00.000Z;2137-01-01T19:00:00.000Z
1;2;Bar Mleczny - Polna;2;Bar mleczny Polna znany z tradycyjnej, domowej kuchni polskiej, oferuje szeroki wybór dań, takich jak pierogi, naleśniki, kotlety schabowe czy zupy przygotowywane według klasycznych przepisów. Dzięki przystępnym cenom, szybkiej obsłudze i jakości dań przyciąga wielu klientów, co wiąże sie z niejednokrotnie długą kolejką, w której czekanie trwa zaskakująco krótko.;2137-01-01T07:00:00.000Z;2137-01-01T07:00:00.000Z;2137-01-01T07:00:00.000Z;2137-01-01T07:00:00.000Z;2137-01-01T07:00:00.000Z;2137-01-01T07:00:00.000Z;2137-01-01T07:00:00.000Z;2137-01-01T18:30:00.000Z;2137-01-01T18:30:00.000Z;2137-01-01T18:30:00.000Z;2137-01-01T18:30:00.000Z;2137-01-01T18:30:00.000Z;2137-01-01T18:30:00.000Z;2137-01-01T18:30:00.000Z
1;3;Stołówka Politechniki;3;Ukochane przez nie tylko studentów miejsce. Oferuje szeroki wybór dań, głównie z kuchni polskiej. Okazjonalnie pojawiajawią się burgery, które bardzo szybko się rozchodzą.;2137-01-01T06:00:00.000Z;2137-01-01T06:00:00.000Z;2137-01-01T06:00:00.000Z;2137-01-01T06:00:00.000Z;2137-01-01T06:00:00.000Z;2137-01-01T06:00:00.000Z;2137-01-01T10:11:00.000Z;2137-01-01T21:00:00.000Z;2137-01-01T21:00:00.000Z;2137-01-01T21:00:00.000Z;2137-01-01T21:00:00.000Z;2137-01-01T21:00:00.000Z;2137-01-01T10:11:00.000Z;2137-01-01T10:11:00.000Z
1;4;Luca;4;Nowość na poliżarciowej mapie. Jest to piekarna oferująca wiele pozycje na ciepło. Główną ich zaletą jest oferowanie 2 wyrobów w pakiecie, obniżającym cenę produktów do -50%.;2137-01-01T05:00:00.000Z;2137-01-01T05:00:00.000Z;2137-01-01T05:00:00.000Z;2137-01-01T05:00:00.000Z;2137-01-01T05:00:00.000Z;2137-01-01T06:00:00.000Z;2137-01-01T06:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z
1;5;Kebab Dubai;5;Klasyczny kebab z kulą mocy lub kurczakiem. Szybka obsługa i poręczność kebaba sprawia, że jest to dobra propozycja pozwalająca szybko zaspokoić głód.;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T23:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z
1;6;Kebab King;6;Typowy Kebab King, który dzięki dużemu obrotowi oferuje trochę wyższą jakość niż reszta lokali Kinga zapewniając świeższe składniki.;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z
1;7;Amman Kebab;7;Kebab oferujący jako mięso kulę mocy lub kurczaka. Kurczak jest w tym lokalu zdecydowanie lepszą opcją. Lokal choć trochę skryty zapewnia duże stoliki pozwalające na zorganizowanie spotkania z kilkoma znajomymi;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T08:00:00.000Z;2137-01-01T09:00:00.000Z;2137-01-01T09:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T19:00:00.000Z;2137-01-01T19:00:00.000Z
1;8;La Viet;8;La Viet to wyjątkowy lokal kuchni azjatyckiej pokryty muralami Legii, który wyróżnia się dużymi porcjami i daniami nieobecnymi/niejadalnymi w pobliskich barach. Choć ceny są nieco wyższe, oferuje zniżkę 3zł dla studentów na niektóre dania.;2137-01-01T09:00:00.000Z;2137-01-01T09:00:00.000Z;2137-01-01T09:00:00.000Z;2137-01-01T09:00:00.000Z;2137-01-01T09:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T20:00:00.000Z;2137-01-01T19:00:00.000Z;2137-01-01T19:00:00.000Z
1;9;Niigata Onigiri;9;Niigata Onigiri to miejsce specjalizujące się w japońskich onigiri – tradycyjnych ryżowych przekąskach z różnorodnymi nadzieniami. Lokal przyciąga miłośników autentycznej kuchni japońskiej, oferując świeże składniki, oryginalne smaki i szybki serwis. Jest to idealne miejsce do zapokojenia małego głoda i spróbowania tej kultowej przekąski.;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T18:00:00.000Z;2137-01-01T18:00:00.000Z;2137-01-01T18:00:00.000Z;2137-01-01T18:00:00.000Z;2137-01-01T18:00:00.000Z;2137-01-01T17:00:00.000Z;2137-01-01T17:00:00.000Z
1;10;Hito Doori Onigiri;10;Hito Doori Onigiri to lokal z japońskimi onigiri, który powstał w dawnym miejscu Niigata Onigiri. Oferuje autentyczne, ręcznie robione przekąski ryżowe z różnorodnymi nadzieniami, idealne na szybki posiłek lub lekki lunch.;2137-01-01T09:00:00.000Z;2137-01-01T09:00:00.000Z;2137-01-01T09:00:00.000Z;2137-01-01T09:00:00.000Z;2137-01-01T09:00:00.000Z;2137-01-01T09:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T19:00:00.000Z;2137-01-01T19:00:00.000Z;2137-01-01T19:00:00.000Z;2137-01-01T19:00:00.000Z;2137-01-01T19:00:00.000Z;2137-01-01T19:00:00.000Z;2137-01-01T18:00:00.000Z
1;11;Żabka EITI;11;Najbliższa EITI Żabka oferuje całkiem szeroki wybór dań na ciepło, w tym hot dogi, zapiekanki, nuggetsy oraz kebaba, co sprawia, że jest jedną z opcji na szybki posiłek w bardzo dobrej cenie.;2137-01-01T05:00:00.000Z;2137-01-01T05:00:00.000Z;2137-01-01T05:00:00.000Z;2137-01-01T05:00:00.000Z;2137-01-01T05:00:00.000Z;2137-01-01T05:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T19:00:00.000Z
1;12;Pizza przy Politechnice;12;"Pizza przy Politechnice oferuje kawałek pizzy ""to go"" oraz różnorodne rodzaje pizzy. W menu znajdziemy klasyczne warianty, jak margherita czy pepperoni, ale także bardziej oryginalne połączenia składników. Spory lokal zapewnia dużo miejsca na spotkania ze znajomymi.";2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z
1;13;Dominos;13;Zwykła pizzera Dominos, oferuje ciekawe promocje, między innymi -40% dla studentów na klasyczne warianty pizzy. Czyni to ją dla studentów miejescem o bardzo przystępnych cenach, które watro rozważyć wybierając się w więcej niż jedną osobę na jedzenie.;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T10:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z;2137-01-01T22:00:00.000Z
